"","Study_l","Group_l","Trial_l","Condition_l","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_LAM","HR_TT","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_LAM","Resp_TT","typepairs"
"1","1","3","2","TurnTaking","22.1781031351813","97.1245337166452","81837","292","9.46194264208121","2.87661033156293","97.9396986185219","11.5749714641486","3.33102706223692","75.7232350249877","37194","23","3.1816422003549","1.4763768910387","85.8776403437486","3.74848476384661","real"
"2","1","3","3","Synchronous","15.2154191550451","96.614187676612","46521","195","8.48855355645838","2.82510690034927","97.5032722913379","11.1855510960173",NA,NA,NA,NA,NA,NA,NA,NA,"real"
"3","1","4","1","Synchronous","4.88620165278075","84.6401865328391","19676","19","4.72296198414312","2.09420600008419","97.1182133651508","6.78517340120904",NA,NA,NA,NA,NA,NA,NA,NA,"real"
"4","1","4","3","TurnTaking","7.48355446427643","94.3313193612642","22238","90","6.40997391851785","2.53927700010514","97.8711013758098","9.1348980852378","3.59110621822631","86.7071781238132","26123","18","3.4083757608238","1.6217754059819","92.997166145666","3.88368782789052","real"
"5","2","10","1","Conversation","15.3783210143806","98.4411413756021","48122","583","13.8865383816134","3.18436387045861","98.9231471797063","18.2344475520678",NA,NA,NA,NA,NA,NA,NA,NA,"real"
"6","2","10","2","TurnTaking","5.60384540713031","95.1234006427748","34071","163","6.90622523553755","2.61566764876096","96.5803569623835","8.84476694679945","3.70194396974122","88.5502859064918","53540","27","3.44194994396713","1.64534328811011","92.8129354668204","4.07573167901078","real"
"7","2","10","3","Synchronous","9.01624099129152","96.8137790675762","43084","312","8.94332002599573","2.78958616826856","97.7859018329376","10.6145642983772","4.22999263026579","85.7490695767363","54454","28","3.74457340140302","1.7856594286589","89.7970941357051","4.34637383215616","real"
"8","2","5","1","Synchronous","11.6617254175784","89.2505808396727","104682","29","4.3888825203951","1.9747945336251","92.3570046544878","4.96675790309438",NA,NA,NA,NA,NA,NA,NA,NA,"real"
"9","2","5","2","TurnTaking","21.0653977922618","93.9175303187868","144425","341","6.04680630084819","2.39522651989022","95.6958453287506","7.23899319904982","3.41926850184848","81.7832784480202","49084","25","3.20273408850134","1.47895461272739","91.411879158668","3.60884388670952","real"
"10","2","5","3","Conversation","5.59786470983084","85.449674424628","51138","29","4.1289647620165","1.9508136488366","89.9381224681406","4.96998837105287","3.95713635929438","85.5701801704607","55469","36","3.43175467378175","1.61660654721265","92.0047110439817","3.97101336799829","real"
"11","2","6","1","TurnTaking","3.55180926287679","85.14261659353","32424","36","4.11701208981002","1.95057959163467","91.6719818348811","4.79553568449501","3.91732591960248","83.0740448101427","53044","27","3.44891033858683","1.62354201706291","90.377262530765","4.30486881664612","real"
"12","2","6","2","Conversation","4.19258207770783","83.2338208992322","35379","29","4.35399530795104","2.03141629712581","91.5074918003555","5.33711512401122","4.73352887528748","82.6179434953514","63677","30","3.45254958619282","1.64428834439836","88.1331218855927","4.13491307874044","real"
"13","2","6","3","Synchronous","19.1871869903523","95.5724053409779","40669","460","19.9036366765841","3.20085524710971","99.4863990195534","42.9093547894281","3.29099634786355","82.4775144858601","37425","29","4.07722110888443","1.89491804634182","89.2826256161896","5.32855898577373","real"
"14","2","7","1","Conversation","8.46080638376005","93.0402675399021","49109","371","7.07577022541693","2.57091102652727","95.92638904136","9.61934808291268","4.27526410882516","84.053424315553","56500","26","3.57546902654867","1.71119432344775","94.4149954231505","5.16095796943231","real"
"15","2","7","2","Synchronous","16.1432839148013","97.8649924150677","54236","482","12.8583044472306","3.00995192314284","98.6010325611811","19.3045580679726",NA,NA,NA,NA,NA,NA,NA,NA,"real"
"16","2","7","3","TurnTaking","5.36389258214567","97.2838963902134","23157","383","9.94697067841257","2.90989520028642","98.0931102786213","13.3259510012049",NA,NA,NA,NA,NA,NA,NA,NA,"real"
"17","2","8","1","TurnTaking","19.1437589724618","97.7675718660803","54675","414","15.1107270233196","3.11540027888404","98.0796266229924","19.3237742183675","4.16234334422991","82.7519744264761","57962","36","3.34068872709706","1.55413428058191","93.4044753666792","4.41461985941666","real"
"18","2","8","2","Synchronous","23.9297666780466","97.9300544916824","82103","470","12.5993325457048","2.9465345731456","98.2482382032513","15.3246998715317",NA,NA,NA,NA,NA,NA,NA,NA,"real"
"19","2","8","3","Conversation","14.9152020943315","96.1841591647466","43309","482","14.621995428202","2.75417771693717","96.4378093735144","17.1575960655029","4.02475006852981","74.2637796841645","56366","34","2.98099918390519","1.3501871840181","88.2708601280844","3.88747445255474","real"
"20","2","9","1","Synchronous","8.50930893269246","95.6056419021453","42335","335","8.48262666824141","2.80754326121889","97.1867695371361","10.9339263785306",NA,NA,NA,NA,NA,NA,NA,NA,"real"
"21","2","9","2","Conversation","4.9146606599926","95.2065749989629","28810","163","7.16917736896911","2.6702363718381","96.6364436741448","8.60580435942695",NA,NA,NA,NA,NA,NA,NA,NA,"real"
"22","2","9","3","TurnTaking","4.45344468908416","95.5072640703211","24866","194","7.55055095310866","2.7075773446156","96.642147885891","9.39765532251682","4.10591853873273","76.4175548046097","56463","21","3.12393957104653","1.44454293914318","91.9127458625769","4.30260809604932","real"
